Carl's WHEEL_DIAMETER   set to 64.0
Carl's WHEEL_BASE_WIDTH set to 115.1
Carl's SPEED set to 150 for best accuracy
PiCamera Started and Stabilizing
Capturing Frames
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines
Found 2 lane_lines

Stopping capture_continuous
Captured 185 640x480 frames in 21.0 seconds - Average FPS: 8.8
